HORA/TIEMPO,MUESTRA ADC
17:4217,65472
17:4218,65455
17:4219,65441
17:4220,65432
17:4221,65420
17:4222,65405
17:4223,65396
17:4224,65398
17:4225,65399
17:4226,65399
17:4227,65398
17:4228,65397
17:4229,65393
17:4230,65392
17:4231,65392
17:4232,65392
17:4233,65391
17:4234,65391
17:4235,65390
17:4236,65391
17:4237,65391
17:4238,65391
17:4239,65391
17:4240,65392
17:4241,65392
17:4242,65393
17:4243,65394
17:4244,65394
17:4245,65395
17:4246,65377
17:4247,65393
17:4248,65406
17:4249,65408
17:4250,65394
17:4251,65394
17:4252,65398
17:4253,65401
17:4254,65402
17:4255,65403
17:4256,65404
17:4257,65404
17:4258,65405
17:4259,65405
17:4300,65406
17:4301,65406
17:4302,65407
17:4303,65407
17:4304,65408
17:4305,65408
17:4306,65408
17:4307,65408
17:4308,65409
17:4309,65409
17:4310,65410
17:4311,65410
17:4312,65410
17:4313,65410
17:4314,65411
17:4315,65411
17:4316,65411
17:4317,65411
17:4449,2758
17:4449,2759
17:4449,2759
17:4449,2759
17:4449,2759
17:4449,2760
17:4449,2760
17:4450,2760
17:4450,2760
17:4450,2760
17:4450,2761
17:4450,2761
17:4450,2761
17:4450,2762
17:4450,2762
17:4450,2762
17:4450,2762
17:4450,2762
17:4450,2762
17:4450,2763
17:4450,2763
17:4450,2763
17:4450,2763
17:4451,2764
17:4451,2764
17:4451,2764
17:4451,2764
17:4451,2764
17:4451,2765
17:4451,2765
17:4451,2765
17:4451,2765
17:4451,2765
17:4451,2766
17:4451,2766
17:4451,2766
17:4451,2766
17:4451,2766
17:4452,2767
17:4452,2767
17:4452,2767
17:4452,2767
17:4452,2767
17:4452,2768
17:4452,2768
17:4452,2768
17:4452,2768
17:4452,2769
17:4452,2769
17:4452,2769
17:4452,2769
17:4452,2769
17:4452,2769
17:4452,2770
17:4453,2770
17:4453,2770
17:4453,2770
17:4453,2770
17:4453,2770
17:4453,2771
17:4453,2771
17:4453,2771
17:4453,2771
17:4453,2771
17:4453,2771
17:4453,2772
17:4453,2772
17:4453,2772
17:4453,2772
17:4454,2772
17:4454,2772
17:4454,2773
17:4454,2773
17:4454,2773
17:4454,2773
17:4454,2773
17:4454,2773
17:4454,2774
17:4454,2774
17:4454,2774
17:4454,2774
17:4454,2774
17:4454,2774
17:4454,2775
17:4454,2775
17:4455,2775
17:4455,2775
17:4455,2775
17:4455,2775
17:4455,2775
17:4455,2776
17:4455,2776
17:4455,2776
17:4455,2776
17:4455,2776
17:4455,2776
17:4455,2776
17:4455,2777
17:4456,2779
17:4457,2781
17:4458,2783
17:4459,2784
17:4500,2786
17:4501,2787
17:4502,2789
17:4503,2791
17:4504,2790
17:4505,2794
17:4506,2797
17:4507,2803
17:4508,2807
17:4509,2809
17:4510,2811
17:4511,2812
17:4512,2813
17:4513,2814
17:4514,2815
17:4515,2816
17:4516,2817
17:4517,2817
17:4518,2818
17:4519,2819
17:4520,2819
17:4521,2819
17:4522,2820
17:4523,2820
17:4524,2821
17:4525,2821
17:4526,2822
17:4527,2822
17:4528,2822
17:4529,2822
17:4530,2823
17:4531,2823
17:4532,2824
17:4533,2824
17:4534,2824
17:4535,2824
17:4536,2824
17:4537,2824
17:4538,2824
17:4539,2825
17:4540,2825
17:4541,2825
17:4542,2825
17:4543,2825
17:4544,2826
17:4545,2826
17:4546,2827
17:4547,2827
17:4548,2827
17:4549,2828
17:4550,2828
17:4551,2828
17:4552,2828
17:4553,2828
17:4554,2828
17:4555,2828
17:4556,2829
17:4557,2829
17:4558,2829
17:4559,2829
17:4600,2829
17:4601,2829
17:4602,2830
17:4603,2830
17:4604,2830
17:4605,2830
17:4606,2830
17:4607,2830
17:4608,2830
17:4609,2830
17:4610,2830
17:4611,2830
17:4612,2830
17:4613,2831
17:4614,2830
17:4615,2831
17:4616,2831
17:4617,2831
17:4618,2831
17:4619,2831
17:4620,2831
17:4621,2831
17:4622,2832
17:4623,2832
17:4624,2832
17:4625,2832
17:4626,2832
17:4627,2832
17:4628,2832
17:4629,2832
17:4630,2832
17:4631,2832
17:4632,2832
17:4633,2832
17:4634,2832
17:4635,2832
17:4636,2832
17:4637,2832
17:4638,2832
17:4639,2832
17:4640,2833
17:4641,2835
17:4642,2835
17:4643,2833
17:4644,2833
17:4645,2833
17:4646,2832
17:4647,2832
17:4648,2831
17:4649,2833
17:4650,2833
17:4651,2833
17:4652,2833
17:4653,2833
17:4654,2833
17:4655,2834
17:4656,2834
17:4657,2834
17:4658,2834
17:4659,2834
17:4700,2834
17:4701,2834
17:4702,2834
17:4703,2834
17:4704,2835
17:4705,2835
17:4706,2835
17:4707,2835
17:4708,2835
17:4709,2835
17:4710,2835
17:4711,2835
17:4712,2835
17:4713,2835
17:4714,2836
17:4715,2836
17:4716,2844
17:4717,2842
17:4718,2840
17:4719,2843
17:4720,2842
17:4721,2838
17:4722,2837
17:4723,2837
17:4724,2837
17:4725,2837
17:4726,2837
17:4727,2837
17:4728,2837
17:4729,2837
17:4730,2837
17:4731,2837
17:4732,2837
17:4733,2837
17:4734,2837
17:4735,2837
17:4736,2837
17:4737,2837
